name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	60	42	0.0
Buchnera aphidicola	9	species	619958	10	7	0.0
Cellulomonas gilvus	11	species	3526441	43	26	0.0
Dictyoglomus thermophilum	14	species	1959987	4	0	0.0
Pelobacter carbinolicus	19	species	3665893	39	28	0.0
Shewanella putrefaciens	24	species	4749735	12	3	0.0
Myxococcales	29	order	0	29	0	0.0
Myxococcaceae	31	family	0	2	0	0.0
Myxococcus	32	genus	0	7	0	0.0
Myxococcus fulvus	33	species	10026214	317	163	0.0
Myxococcus xanthus	34	species	9139763	116	46	0.0
Cystobacteraceae	39	family	0	3	0	0.0
Stigmatella	40	genus	0	2	0	0.0
Stigmatella aurantiaca	41	species	10260756	116	68	0.0
Archangium	47	genus	0	2	0	0.0
Archangium gephyra	48	species	12489432	195	120	0.0
Polyangiaceae	49	family	0	2	0	0.0
Chondromyces crocatus	52	species	11388132	178	133	0.0
Sorangium cellulosum	56	species	13907952	422	310	0.0
Lysobacter	68	genus	0	6	0	0.0
Caulobacter	75	genus	0	6	0	0.0
Hyphomicrobium	81	genus	0	4	0	0.0
Leptothrix	88	genus	0	3	0	0.0
Cyclobacterium marinum	104	species	6221273	5	4	0.0
Runella slithyformis	106	species	6919729	17	17	0.0
Planctomycetales	112	order	0	5	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	52	44	0.0
Planctopirus limnophila	120	species	5460085	19	16	0.0
Pirellula staleyi	125	species	6196199	49	42	0.0
Planctomycetaceae	126	family	0	2	0	0.0
Isosphaera pallida	128	species	5529304	62	49	0.0
Methylocystis	133	genus	0	1	0	0.0
Spirochaetaceae	137	family	0	3	0	0.0
Borrelia	138	genus	0	2	0	0.0
Borreliella burgdorferi	139	species	1329613	1	0	0.0
Borrelia hermsii	140	species	1156143	1	1	0.0
Spirochaeta thermophila	154	species	2516433	44	33	0.0
Treponema	157	genus	0	2	0	0.0
Treponema denticola	158	species	2843201	1	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	4	3	0.0
Treponema pallidum	160	species	1138607	1	0	0.0
Treponema succinifaciens	167	species	2897425	1	1	0.0
Leptospira biflexa	172	species	3953768	4	4	0.0
Leptospira interrogans	173	species	5395453	7	4	0.0
Leptospira borgpetersenii	174	species	3948532	9	7	0.0
Leptospirillum ferrooxidans	180	species	2559538	9	6	0.0
Azospirillum	191	genus	0	16	0	0.0
Azospirillum brasilense	192	species	13978806	243	146	0.0
Azospirillum lipoferum	193	species	7223069	206	97	0.0
Campylobacter coli	195	species	5104439	1	0	0.0
Campylobacter fetus	196	species	1876301	5	4	0.0
Campylobacter jejuni	197	species	6156435	5	3	0.0
Campylobacter hyointestinalis	198	species	1753331	2	1	0.0
Campylobacter concisus	199	species	1969727	2	1	0.0
Campylobacter curvus	200	species	1971270	2	2	0.0
Campylobacter lari	201	species	1576113	10	7	0.0
Helicobacter pylori	210	species	2044699	19	16	0.0
Helicobacter acinonychis	212	species	1557588	2	1	0.0
Helicobacter cinaedi	213	species	2170766	2	0	0.0
Helicobacter felis	214	species	1672681	2	2	0.0
Helicobacter mustelae	217	species	1578097	3	3	0.0
Achromobacter	222	genus	0	6	0	0.0
Alteromonas	226	genus	0	2	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	5	3	0.0
Brucella	234	genus	0	25	15	0.0
Brucella abortus	235	species	5108028	2	0	0.0
Flavobacterium	237	genus	0	2	0	0.0
Francisella tularensis	263	species	2777166	5	4	0.0
Paracoccus	265	genus	0	3	0	0.0
Paracoccus denitrificans	266	species	5236194	70	53	0.0
Thermus	270	genus	0	1	0	0.0
Thermus aquaticus	271	species	2338641	37	24	0.0
Thermus thermophilus	274	species	2214494	67	31	0.0
Meiothermus ruber	277	species	3097457	28	18	0.0
Xanthobacter autotrophicus	280	species	5625098	69	45	0.0
Comamonas testosteroni	285	species	5695231	71	45	0.0
Pseudomonas	286	genus	0	137	33	0.0
Pseudomonas aeruginosa	287	species	22457305	297	178	0.0
Pseudoalteromonas atlantica	288	species	5187005	4	3	0.0
Burkholderia cepacia	292	species	13365495	287	107	0.0
Pseudomonas fluorescens	294	species	14826544	383	179	0.0
Pseudomonas fragi	296	species	5101809	26	12	0.0
Pseudomonas mendocina	300	species	5293211	177	97	0.0
Pseudomonas putida	303	species	6888188	351	162	0.0
Ralstonia solanacearum	305	species	11186335	200	131	0.0
Pseudomonas stutzeri	316	species	7755802	410	259	0.0
Pseudomonas syringae	317	species	6129101	119	66	0.0
Ralstonia pickettii	329	species	6378979	160	76	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	71	25	0.0
Burkholderia glumae	337	species	7333967	138	36	0.0
Xanthomonas	338	genus	0	21	2	0.0
Xanthomonas campestris	339	species	7063896	151	82	0.0
Xanthomonas translucens	343	species	4638247	125	60	0.0
Xanthomonas citri	346	species	17318955	59	12	0.0
Xanthomonas oryzae	347	species	17545599	94	40	0.0
Azotobacter	352	genus	0	2	0	0.0
Azotobacter chroococcum	353	species	5192286	103	49	0.0
Azotobacter vinelandii	354	species	5351632	87	47	0.0
Rhizobiales	356	order	0	46	1	0.0
